name	tissue	sample	TRAJ11	TRAJ12	TRAJ13	TRAJ15	TRAJ16	TRAJ17	TRAJ18	TRAJ2	TRAJ21	TRAJ22	TRAJ23	TRAJ24	TRAJ25	TRAJ26	TRAJ27	TRAJ28	TRAJ30	TRAJ31	TRAJ32	TRAJ33	TRAJ34	TRAJ35	TRAJ37	TRAJ38	TRAJ39	TRAJ4	TRAJ40	TRAJ41	TRAJ42	TRAJ43	TRAJ44	TRAJ45	TRAJ47	TRAJ48	TRAJ49	TRAJ5	TRAJ50	TRAJ52	TRAJ53	TRAJ56	TRAJ57	TRAJ58	TRAJ6	TRAJ7	TRAJ9	
TCR10	blood	blood	0.015895	0.027118	0.019793	0.051101	0.0048561	0.015049	0.036992	0.018518	0.031644	0.027227	0.0014327	0.0046162	0	0.046145	0.037544	0.0059185	0.050571	0.05013	0.019085	0.012247	0.038228	0.013991	0.01844	0.0095979	0.027561	0.022368	0.058322	0	0.03063	0.04028	4.4938e-06	0.029561	0.013435	0.023752	0.048901	2.3539e-06	0.012281	0.015892	0.021583	0.013417	0.012063	0.010147	0.025462	0.004047	0.034155	
TCR16	blood	Day21-1	0.013755	0.03523	0.018123	0.049137	0.00463	0.011907	0.021363	0.014947	0.030312	0.028354	0.001446	0.0038626	0	0.039165	0.048115	0.0040212	0.044579	0.054077	0.020255	0.011755	0.034364	0.014361	0.01858	0.0094965	0.02714	0.027287	0.052957	2.2375e-05	0.02961	0.036116	1.5982e-05	0.039697	0.0097227	0.023133	0.045269	0	0.016997	0.022229	0.023244	0.015925	0.014278	0.011493	0.024595	0.0037308	0.044704	
TCR30	blood	Day21-2	0.013185	0.046056	0.025408	0.053184	0.0062034	0.017277	0.01971	0.010366	0.027548	0.034189	0.0012528	0.0063852	0	0.040002	0.048063	0.0045414	0.040776	0.069731	0.022675	0.012415	0.031306	0.012093	0.021766	0.0088444	0.031848	0.027446	0.043793	2.6456e-06	0.021403	0.030122	9.565e-06	0.036177	0.012771	0.021209	0.031383	3.7243e-05	0.016233	0.023633	0.018552	0.014897	0.015	0.0094435	0.024883	0.0019108	0.046268	
TCR18	blood	Day28	0.011824	0.030886	0.017101	0.049918	0.0040917	0.0095387	0.022072	0.0082424	0.027634	0.028201	0.0014124	0.0035631	0	0.034946	0.048294	0.0038959	0.044731	0.053845	0.021044	0.012104	0.036976	0.016544	0.015194	0.0080221	0.0283	0.021918	0.057629	0	0.029199	0.038275	8.1608e-06	0.04458	0.0095752	0.0231	0.055427	0	0.018015	0.026204	0.026036	0.017111	0.017101	0.014072	0.01959	0.0027263	0.041053	
TCR20	blood	Day42-1	0.0042082	0.059993	0.0182	0.036803	0.007641	0.016223	0.013434	0.0066519	0.02221	0.03816	0	0.0062162	0	0.041548	0.057696	0	0.038381	0.10528	0.0098759	0.012208	0.031845	0.018892	0.024135	0.0060722	0.029758	0.0037773	0.057234	0	0.043461	0.036886	0	0.021817	0.01663	0.020265	0.043778	0	0.0061178	0.017781	0.037252	0.017789	0.01484	0.0078978	0.011891	0	0.037156	
TCR32	blood	Day42-2	0.014262	0.044391	0.02718	0.050406	0.0071776	0.019911	0.033881	0.010492	0.025049	0.040231	0.0010959	0.0074338	0	0.044623	0.042895	0.0039174	0.043452	0.058918	0.025229	0.016907	0.02909	0.012491	0.021167	0.0089639	0.029414	0.026316	0.043214	2.4797e-06	0.021542	0.022512	1.8893e-05	0.038129	0.013688	0.022797	0.03185	1.9837e-05	0.016951	0.02335	0.018133	0.016126	0.011758	0.0087959	0.025386	0.0016284	0.039206	
TCR38	blood	Endstage	0.01798	0.047652	0.020543	0.043322	0.0042489	0.014679	0.016361	0.019288	0.023023	0.027347	0	0.017032	0	0.032989	0.054647	0.0080763	0.039838	0.046175	0.018457	0.0053525	0.052098	0.017822	0.014356	0.01596	0.026451	0.02117	0.049569	0	0.037011	0.046516	0	0.043114	0.013149	0.017079	0.030592	5.4842e-05	0.020002	0.012708	0.010163	0.010641	0.018578	0.0045351	0.037265	0.0019151	0.04224	
TCR17	brain	Day21-1	0	0	0.053082	0.088042	0	0.024506	0.036832	0.0050175	0.035832	0.041204	0	0	0	0.029954	0.022332	0	0.055908	0.16398	0.0055349	0.021733	0	0	0.012959	0.0020756	0.056111	0	0.16769	0	0.015343	0.038524	0	0	0	0.026436	0.03039	0	0	0.016471	0.0093722	0	0	0	0	0	0.040669	
TCR31	brain	Day21-2	0.0035764	0.02177	0.0072091	0.026605	0.003304	0.031182	0.053566	0.0044147	0.01195	0.019011	0.0013221	0.00097921	0	0.019418	0.013493	0.0021111	0.05164	0.049602	0.018438	0.00588	0.0097851	0.011323	0.012427	0.011901	0.010858	0.014803	0.060347	0	0.022442	0.040148	0	0.039497	0.0094047	0.02541	0.098865	0	0.13723	0.0051966	0.060265	0.014221	0.017457	0.01249	0.022649	6.8099e-05	0.017739	
TCR19	brain	Day28	0.0077777	0.017853	0.016679	0.032103	0.0060031	0.011393	0.038147	0.021484	0.055168	0.057079	0.0049573	0.00088935	0	0.042507	0.043681	0.0026392	0.025647	0.035949	0.02239	0.0095193	0.045101	0.012257	0.027063	0.010837	0.014353	0.032202	0.076418	0	0.050722	0.029781	0	0.046164	0.0020051	0.021863	0.021188	0	0.019586	0.016581	0.050668	0.018071	0.011253	0.0096099	0.017202	0.0014905	0.013719	
TCR21	brain	Day42-1	0.0018348	0.0018796	0.0021713	0.0089235	0.0010881	0.0016194	0.0025041	0.00025658	0.0019691	0.0025089	0.00037156	0.00019849	0	0.0056739	0.8812	0.00027958	0.0042227	0.003194	0.0038318	0.00041392	0.0039625	0.0024799	0.0022257	0.00068745	0.0065005	0.0011546	0.0045156	0	0.0062197	0.0043571	0	0.0062488	0.00040424	0.0050639	0.0034106	0	0.0014693	0.005928	0.0037894	0.00046354	0.0024061	0.0003885	0.0056109	2.0575e-05	0.0085507	
TCR33	brain	Day42-2	0.0054744	0.031412	0.041322	0.067375	0.0090023	0.010368	0.0714	0.0027659	0.022846	0.027501	0.0013485	0.011139	0	0.018884	0.034738	0.005437	0.059632	0.064643	0.014287	0.013577	0.01979	0.005368	0.027634	0.016254	0.019206	0.02301	0.048237	0	0.019957	0.016716	3.1627e-05	0.029902	0.010121	0.026271	0.070632	3.4502e-05	0.015727	0.010647	0.034868	0.010313	0.023562	0.0033439	0.013605	0.012895	0.02872	
TCR39	brain	Endstage	0.0052045	0.015241	0.013122	0.022857	0.0040519	0.018575	0.033789	0.033435	0.024506	0.023176	0	0.014656	0	0.026661	0.08649	0.0043799	0.049758	0.036245	0.0058872	0.015161	0.022893	0.0092121	0.12193	0.0036352	0.019887	0.014266	0.043773	0	0.0099746	0.08391	0	0.034339	0.030136	0.016917	0.02768	0	0.015392	0.020392	0.017334	0.0066054	0.0025269	0.010072	0.020056	0	0.035873	
