name	tissue	sample	TRBV1	TRBV12-1	TRBV12-2	TRBV12-3	TRBV13-1	TRBV13-2	TRBV13-3	TRBV14	TRBV15	TRBV16	TRBV17	TRBV19	TRBV2	TRBV20	TRBV21	TRBV23	TRBV24	TRBV29	TRBV3	TRBV30	TRBV4	TRBV5	TRBV8	
TCR11	blood	blood	0.0073749	0.0014467	0.2586	0	0	0	0	0.047261	0.0031947	0.14407	0.00071809	0.49427	0.01481	0	0	0	0	0	0.00073382	0	0	0.027521	0	
TCR17	blood	Day21-1	0.06087	0	0.13021	0	0	0	0	0.089194	0	0.40368	0	0.31151	0.0022512	0	0	0.00071223	0	0	0	0	0.00072495	0.00083942	0	
TCR31	blood	Day21-2	0.097178	0	0.0137	0	0.0011056	0.011219	0.00076538	0.11661	0.0032997	0.061505	0.011619	0.58838	0.0076071	0.0065866	0	0	0	0.0015605	0.002058	0	0.015675	0.061131	0	
TCR19	blood	Day28	0.32835	0.00071942	0.076978	0	0	0	0	0.10532	0.0014388	0.3305	0.0011511	0.12619	0.011799	0	0	0.002446	0	0	0.012518	0	0.00071942	0.0018705	0	
TCR21	blood	Day42-1	
TCR33	blood	Day42-2	0.091651	0.0029205	0.0019815	0	0.001714	0.011502	0.0018136	0.13005	0	0.02277	0.0037989	0.6027	0.019641	0.010618	0	0	0	0.0024793	0.0014173	0.00081211	0.010286	0.08384	0	
TCR39	blood	Endstage	0.14069	0.00035957	0.049604	0	0.0057865	0.019331	0.00080725	0.067469	0.0046292	0.32912	0.016726	0.2622	0.030785	0.0060746	0	0	0	0.0047078	0.0067057	0.00076201	0.027049	0.027192	0	
TCR16	brain	Day21-1	
TCR30	brain	Day21-2	0.15736	0.0018639	0.015667	0	0.012858	0.024645	0.0040074	0.10281	0.0074488	0.056529	0.029163	0.31921	0.066794	0.037127	0	0.0010355	0	0.0059266	0.0039315	0	0.010797	0.14282	0	
TCR18	brain	Day28	
TCR20	brain	Day42-1	0.051043	0.00070585	0.0058559	0	0.088335	0.2151	0.0017515	0.02345	0.0024443	0.086897	0.024312	0.24701	0.034456	0.028809	0	0.00026142	0	0.011764	0.0037645	0.00043135	0.026064	0.14755	0	
TCR32	brain	Day42-2	0.084318	0.0082159	0.019846	0	0.033318	0.051046	0.0075852	0.088049	0.0056581	0.099218	0.01337	0.26874	0.057212	0.020445	0	0.00041573	0	0.016495	0.026244	0.00027128	0.021357	0.17819	0	
TCR38	brain	Endstage	
