name	tissue	sample	total_reads	entropy_CDR3_total	entropy_CDR3_1000	entropy_VJ_total	entropy_VJ_1000	entropy_V_total	entropy_V_1000	entropy_J_total	entropy_J_1000
TCR11	blood	blood	61162	14.4754	9.8877	6.8552	5.0006	3.5623	1.958	3.3243	3.1276
TCR17	blood	Day21-1	53261	14.8292	9.864	6.4344	4.2905	3.2648	2.0356	3.205	2.3821
TCR31	blood	Day21-2	169189	15.7751	9.7183	6.6104	5.1272	3.3009	2.1388	3.3493	3.1918
TCR19	blood	Day28	4308	11.8248	9.8548	5.7228	4.9791	2.6859	2.2918	3.0912	2.7765
TCR21	blood	Day42-1	196	6.8394		5.6727		2.8838		3.2458	
TCR33	blood	Day42-2	245482	16.4594	9.6623	6.5752	5.1056	3.2575	2.0345	3.3496	3.2117
TCR39	blood	Endstage	2432	6.3221	6.1999	5.12	5.1073	2.7922	2.7839	3.2391	3.237
TCR16	brain	Day21-1	54	4.3362		3.8596		2.6848		2.8918	
TCR30	brain	Day21-2	6510	8.4334	7.6903	5.708	5.6177	3.1107	3.0682	3.1967	3.1768
TCR18	brain	Day28	963	8.0198		5.8769		3.1047		3.1234	
TCR20	brain	Day42-1	2447	7.6872	7.1503	5.5842	5.402	3.203	3.1282	3.1069	3.0762
TCR32	brain	Day42-2	3120	7.4671	7.2406	5.881	5.8707	3.3416	3.3365	3.3416	3.34
TCR38	brain	Endstage	672	8.8707		5.8716		2.9267		3.2681	
